Var1,Var2,Var3,Var4,Var5,Var6
9795.84,10612.16,109.64588931895,118.783046762196,109.222281308054,118.324138083725
13486.08,14609.92,129.099205178926,139.85747227717,127.699229138759,138.340831566989
16690.56,18081.44,143.373240388876,155.321010421283,142.308081760765,154.167088574162
14537.28,15748.72,133.490185913579,144.614368073044,133.12558654685,144.219385425754
18557.76,20104.24,151.26712541435,163.872719198879,149.977600554629,162.475733934181
22217.28,24068.72,165.189080865638,178.954837604441,164.40928183223,178.110055318249
20223.36,21908.64,157.783310906667,170.931920148889,156.681698042754,169.738506212984
