Var1,Var2,Var3,Var4,Var5,Var6
9591.76,10816.24,107.361599958138,121.067336123007,106.946817114136,120.599602277643
13205.12,14890.88,126.409638404365,142.547039051731,125.038828531701,141.001232174046
16342.84,18429.16,140.386297880775,158.307952929384,139.343330057416,157.131840277511
14234.42,16051.58,130.709140373713,147.395413612911,130.352136827124,146.99283514548
18171.14,20490.86,148.115726968218,167.024117645011,146.853067209741,165.600267279069
21754.42,24531.58,161.747641680937,182.396276789142,160.984088460725,181.535248689754
19802.04,22329.96,154.496158596111,174.219072459445,153.417496000197,173.002708255541
