Var1,Var2,Var3,Var4,Var5,Var6
10101.96,10306.04,113.072323360167,115.356612720978,112.635477598931,114.910941792848
13907.52,14188.48,133.133555340767,135.823122115328,131.689830049345,134.350230656402
17212.14,17559.86,147.853654151029,150.84059665913,146.755209315789,149.719961019138
14991.57,15294.43,137.661754223379,140.442799763245,137.285761126439,140.059210846165
19360.44,19751.56,156.62936346111,159.793593025981,155.833080808528,158.981223855165
22911.57,23374.43,170.351239642689,173.79267882739,169.547071889487,172.972265260992
20855.34,21276.66,162.7140393725,166.001191683056,161.57800110659,164.842203149148
